Trade,Vendor,Progress,,Start,Days,Finish,Delay,Notes,
Site ,,5.61%,,3/1/2026,120,11/26/2026,0,,
Site Utilities,Blackstone,35.00%,,3/1/2026,100,7/16/2026,0,,
Road,Blackstone,0.00%,,11/1/2026,5,11/5/2026,0,,
Gas,Blackstone,0.00%,,11/6/2026,5,11/12/2026,0,,
Water,Blackstone,0.00%,,11/13/2026,5,11/19/2026,0,,
Power,,0.00%,,11/20/2026,5,11/26/2026,0,,
Structural,,,,3/11/2026,85,8/7/2026,0,,
Ftgs,Frie,100.00%,,3/11/2026,5,3/22/2026,5,,3/11/2026
Wall,Frie,0.00%,,3/27/2026,5,4/14/2026,5,,
Slab,Frie,50.00%,,4/21/2026,21,5/25/2026,0,,
Pan,Frie,0.00%,,5/26/2026,5,6/1/2026,0,,
Pretreat,RAC,25.00%,,5/26/2026,0,6/1/2026,0,,
Steel,D-Iron Works,0.00%,,6/2/2026,21,6/30/2026,0,,
Lumber,Sunpro,0.00%,,6/2/2026,0,6/30/2026,0,,
Framing Labor,Bateman,0.00%,,7/1/2026,28,8/7/2026,0,,
Truss,SunPro,,,7/1/2026,0,8/7/2026,0,,
Mechanical Rough,,0.00%,,8/7/2026,20,9/6/2026,0,,
HVAC/ERV,,15.00%,,8/7/2026,5,8/13/2026,0,,
Plumbing/Gas,Master,0.00%,,8/14/2026,5,8/20/2026,0,,
Electrical,Breck,0.00%,,8/21/2026,10,9/4/2026,1,,
Fireplace,Dixie,0.00%,,8/21/2026,0,9/6/2026,0,,
Exterior Sealing,,0.00%,,8/7/2026,111,1/8/2027,0,,
Roofing ,Advance,,,8/7/2026,21,9/4/2026,0,,
Deck,Advance,0.00%,,9/7/2026,21,10/5/2026,0,,
Exterior Glass,STG,0.00%,,9/7/2026,0,10/5/2026,0,,
Exterior Doors,Sunroc,0.00%,,9/7/2026,0,10/5/2026,0,,
Garage Door,Sunroc,0.00%,,9/7/2026,0,10/5/2026,0,,
Exterior Stucco,Simco,0.00%,,10/6/2026,48,12/10/2026,0,,
Stone Veneer ,Simco,0.00%,,12/11/2026,21,1/8/2027,0,,
Rammed Earth,Alysa Oliver,0.00%,,12/11/2026,0,1/8/2027,0,,
Wall/Ceiling Finish,,0.00%,,9/6/2026,73,12/15/2026,0,,
Insulation,LP,,,9/6/2026,3,9/8/2026,0,,
Sheetrock,H&E,0.00%,,9/9/2026,28,10/16/2026,0,,
Paint,Jose,0.00%,,10/19/2026,21,11/16/2026,0,,
Tile Floor,GS,0.00%,,11/17/2026,21,12/15/2026,0,,
Carpentry,,,,12/15/2026,15,1/4/2027,0,,
Cabinet,Peppermint,0.00%,,12/15/2026,5,12/21/2026,0,,
Countertops,Countertop source,0.00%,,12/22/2026,10,1/4/2027,0,,
Finish Carpentry,A&L,0.00%,,12/22/2026,0,12/22/2026,0,,
Door,Sunpro,0.00%,,12/22/2026,0,12/22/2026,0,,
 Base&Case,Sunpro,0.00%,,12/22/2026,0,12/22/2026,0,,
Door & Bath Hardware,Sunpro,0.00%,,12/22/2026,0,12/22/2026,0,,
Vault Door,Creative Engineering,0.00%,,12/22/2026,0,12/22/2026,0,,
Security Door Install,RAC,,,12/22/2026,0,12/22/2026,0,,
Equipment/ Finishes,,,,12/22/2026,29,2/12/2027,0,,
HVAC/ERV,,0.00%,,12/22/2026,5,12/28/2026,0,,
Plumbing/Gas,Master,0.00%,,12/29/2026,5,1/4/2027,0,,
Electrical,Breck,0.00%,,1/5/2027,5,1/11/2027,0,,
AV install,,0.00%,,1/12/2027,14,1/29/2027,0,,
Range,Action Target,0.00%,,2/1/2027,3,2/3/2027,0,,
Appliance,Blvd,0.00%,,2/4/2027,1,2/4/2027,0,,
Glass,,0.00%,,2/4/2027,0,2/4/2027,0,,
Railing,,50.00%,,2/4/2027,0,2/4/2027,0,,
Outdoor,,0.00%,,2/5/2027,5,2/11/2027,0,,
Cleaning,,0.00%,,2/12/2027,1,2/12/2027,0,,
Landscape ,,,,2/12/2027,14,3/4/2027,0,,
Solar,D4,0.00%,,2/12/2027,0,2/12/2027,0,,
Pavers,,0.00%,,2/15/2027,14,3/4/2027,0,,
